 field wavelength pupil_y sample_opd_mm
 6 1 -1 -0.1048751270360526E-04
 6 1 -0.75 -0.7421182480982225E-05
 6 1 -0.5 -0.5317626957435095E-05
 6 1 -0.25 -0.3744450722820147E-05
 6 1 0.0E+00 -0.2705162209792888E-05
 6 1 0.25 -0.2015629981144684E-05
 6 1 0.5 -0.1530819211836842E-05
 6 1 0.75 -0.1765589104252285E-05
 6 1 1 -0.3527438551031992E-05
 6 2 -1 0.0E+00
 6 2 -0.75 0.0E+00
 6 2 -0.5 0.0E+00
 6 2 -0.25 0.0E+00
 6 2 0.0E+00 0.0E+00
 6 2 0.25 0.0E+00
 6 2 0.5 0.0E+00
 6 2 0.75 0.0E+00
 6 2 1 0.0E+00
 6 3 -1 -0.3080337208416495E-05
 6 3 -0.75 -0.8121355321577539E-06
 6 3 -0.5 -0.2237797431803301E-06
 6 3 -0.25 -0.4658067496166041E-06
 6 3 0.0E+00 -0.1062509376481557E-05
 6 3 0.25 -0.1927764728293369E-05
 6 3 0.5 -0.2976792202957768E-05
 6 3 0.75 -0.3628594718918521E-05
 6 3 1 -0.3199120627073171E-05
