 field wavelength pupil_x pupil_y opd_mm
 6 1 0.0E+00 -1 -0.1048751270360526E-04
 6 1 0.0E+00 -0.9 -0.8995113425669388E-05
 6 1 0.0E+00 -0.8 -0.7898543124440494E-05
 6 1 0.0E+00 -0.7 -0.6970127081729061E-05
 6 1 0.0E+00 -0.6 -0.6122544725428725E-05
 6 1 0.0E+00 -0.5 -0.5317626957435095E-05
 6 1 0.0E+00 -0.4 -0.4624392730079308E-05
 6 1 0.0E+00 -0.3 -0.4015177410110482E-05
 6 1 0.0E+00 -0.2 -0.3496269577851763E-05
 6 1 0.0E+00 -0.1 -0.3063722246565703E-05
 6 1 0.0E+00 0.0E+00 -0.2705162209792888E-05
 6 1 0.0E+00 0.1 -0.2402805186818568E-05
 6 1 0.0E+00 0.2 -0.2138164894915917E-05
 6 1 0.0E+00 0.3 -0.1898833531299715E-05
 6 1 0.0E+00 0.4 -0.1687529909588648E-05
 6 1 0.0E+00 0.5 -0.1530819211836842E-05
 6 1 0.0E+00 0.6 -0.1482059133195435E-05
 6 1 0.0E+00 0.7 -0.161226002148851E-05
 6 1 0.0E+00 0.8 -0.1985092708878256E-05
 6 1 0.0E+00 0.9 -0.262576789822333E-05
 6 1 0.0E+00 1 -0.3527438551031992E-05
 6 2 0.0E+00 -1 0.0E+00
 6 2 0.0E+00 -0.9 0.0E+00
 6 2 0.0E+00 -0.8 0.0E+00
 6 2 0.0E+00 -0.7 0.0E+00
 6 2 0.0E+00 -0.6 0.0E+00
 6 2 0.0E+00 -0.5 0.0E+00
 6 2 0.0E+00 -0.4 0.0E+00
 6 2 0.0E+00 -0.3 0.0E+00
 6 2 0.0E+00 -0.2 0.0E+00
 6 2 0.0E+00 -0.1 0.0E+00
 6 2 0.0E+00 0.0E+00 0.0E+00
 6 2 0.0E+00 0.1 0.0E+00
 6 2 0.0E+00 0.2 0.0E+00
 6 2 0.0E+00 0.3 0.0E+00
 6 2 0.0E+00 0.4 0.0E+00
 6 2 0.0E+00 0.5 0.0E+00
 6 2 0.0E+00 0.6 0.0E+00
 6 2 0.0E+00 0.7 0.0E+00
 6 2 0.0E+00 0.8 0.0E+00
 6 2 0.0E+00 0.9 0.0E+00
 6 2 0.0E+00 1 0.0E+00
 6 3 0.0E+00 -1 -0.3080337208416495E-05
 6 3 0.0E+00 -0.9 -0.1928820125840502E-05
 6 3 0.0E+00 -0.8 -0.1106318933352668E-05
 6 3 0.0E+00 -0.7 -0.5875874649063917E-06
 6 3 0.0E+00 -0.6 -0.3152510501536199E-06
 6 3 0.0E+00 -0.5 -0.2237797431803301E-06
 6 3 0.0E+00 -0.4 -0.2597718591346165E-06
 6 3 0.0E+00 -0.3 -0.3813488618220617E-06
 6 3 0.0E+00 -0.2 -0.5631652371107521E-06
 6 3 0.0E+00 -0.1 -0.7918106845750117E-06
 6 3 0.0E+00 0.0E+00 -0.1062509376481557E-05
 6 3 0.0E+00 0.1 -0.1375741312870105E-05
 6 3 0.0E+00 0.2 -0.1733088339506139E-05
 6 3 0.0E+00 0.3 -0.2131665247873116E-05
 6 3 0.0E+00 0.4 -0.2557094127553228E-05
 6 3 0.0E+00 0.5 -0.2976792202957768E-05
 6 3 0.0E+00 0.6 -0.3337935901015499E-05
 6 3 0.0E+00 0.7 -0.3575206910966244E-05
 6 3 0.0E+00 0.8 -0.3632388029473077E-05
 6 3 0.0E+00 0.9 -0.3493823179212541E-05
 6 3 0.0E+00 1 -0.3199120627073171E-05
