 field wavelength surface chief_path chief_opl sample_path sample_opl
 6 1 2 3.6872307129656647 6.8736612206857695 3.7522825630390457 6.9949295692083986
 6 1 3 6.7704423367396878 9.9568728444597916 6.5211256321105786 9.7637726382799315
 6 1 4 8.8983427753471247 13.7079534090584048 9.2117546073557648 14.5068357405146937
 6 1 5 12.8258987647558058 21.1726972834089047 12.4626102233938596 20.6854375508155073
 6 1 6 13.8924523354104199 22.2392508540635205 13.7835824926074295 22.0064098200290772
 6 1 7 16.0221703545071037 24.3689688731602061 15.8491384006578713 24.071965728079519
 6 1 8 18.3084610559334138 28.766078624099638 17.9327238002267464 28.0792224044259449
 6 1 9 20.1480986212664135 30.6057161894326377 19.075064351501279 29.2215629557004775
 6 1 10 23.3697834550142503 35.7161947033746117 24.3278900004428067 37.5539896211513167
 6 1 11 31.2547151905389917 50.4151256131355865 30.1151950170381113 48.3425670554220517
 6 1 12 34.6877198183012894 53.8481302408978877 33.2265209213687456 51.4538929597526931
 6 1 13 37.5948818229014421 58.6839943569743951 36.7850427043331862 57.3732492836467145
 6 1 14 43.1630712185284153 64.2521837526013684 42.435230167834078 63.0234367471475991
 6 1 15 44.8003925821358706 66.7461689125193942 44.0455879907286771 65.4763507576313231
 6 1 16 54.941792434908777 76.8875687652922863 53.7881402178515771 75.218902984754223
 6 2 2 3.6875179589614788 6.8315934536642162 3.7532719637922867 6.953411064847014
 6 2 3 6.7697257434050364 9.9138012381077729 6.5213157058268045 9.7214548068815319
 6 2 4 8.8982452895256046 13.6310502077566955 9.2153596693651636 14.4263362658768841
 6 2 5 12.8268546126778133 21.0467585983997338 12.4630253142221221 20.556684028032258
 6 2 6 13.8932111557660551 22.1131151414879774 13.785121903061615 21.8787806168717509
 6 2 7 16.0226873549089674 24.2425913406308915 15.8504733892318583 23.9441321030419942
 6 2 8 18.3094002892808589 28.6056445236632229 17.9335629495895645 27.9186714517497698
 6 2 9 20.1482603472983399 30.4445045816807038 19.0736456137132748 29.0587541158734801
 6 2 10 23.3731695711702372 35.5332489038382278 24.3342867369595766 37.3597808389411341
 6 2 11 31.2550205062696982 50.1353747375920591 30.1134900994751256 48.0664860802830844
 6 2 12 34.6856256909474752 53.5659799222698325 33.2186823990867879 51.1716783798947574
 6 2 13 37.5965278013733979 58.3740712805893907 36.7839188310367575 57.060568431342233
 6 2 14 43.1658789176806152 63.9434223968966222 42.436001059455549 62.7126506597610245
 6 2 15 44.8032853741710539 66.4298607587121808 44.0463421884020789 65.1579897157728567
 6 2 16 54.9423426095615639 76.5689179941026765 53.7877396279856299 74.8993871553564077
 6 3 2 3.6877071888253212 6.8042463759092096 3.753926622232342 6.9264288911424776
 6 3 3 6.7692653560662563 9.8858045431501438 6.521442102757387 9.6939443716675235
 6 3 4 8.8981742072403662 13.5820922200712495 9.2177062952225306 14.3752946806937292
 6 3 5 12.8274515831154545 20.9660842684005999 12.4633074089612172 20.4745059410232422
 6 3 6 13.8936679417122555 22.0323006269973973 13.786202784575222 21.7974013166372487
 6 3 7 16.0229576991303198 24.1615903844154616 15.8514864767725623 23.862685008834589
 6 3 8 18.3099397095153087 28.5029623634454623 17.9342152162821407 27.8163235370647435
 6 3 9 20.1483024972272169 30.3413251511573705 19.0726297282589812 28.954738049041584
 6 3 10 23.3751732140361241 35.4159267588237228 24.3394088128745096 37.2373151819872703
 6 3 11 31.2551668251899706 49.9554265687206538 30.1121808599026437 47.8887474320768405
 6 3 12 34.6842732774579119 53.3845330209885844 33.2128666553263443 50.9894332275005411
 6 3 13 37.5975257256166771 58.1750726835714573 36.7832478720336624 56.8605525807125787
 6 3 14 43.1676156752992597 63.74516263325404 42.4371636086258093 62.5144683173047326
 6 3 15 44.8050880865212235 66.2265239754435697 44.0475249484405964 64.9547466073010895
 6 3 16 54.9426933572237175 76.3641292461460495 53.7885916669207376 74.6958133257812165
